Year,Month,Day,Hour,Minute,GHI,Wind Speed,Wind Direction
2023,1,1,0,0,0,0.7000000000000001,225
2023,1,1,1,0,0,0.7000000000000001,238
2023,1,1,2,0,0,0.7000000000000001,248
2023,1,1,3,0,0,0.7000000000000001,255
2023,1,1,4,0,0,0.9,256
2023,1,1,5,0,0,0.9,259
2023,1,1,6,0,0,1,262
2023,1,1,7,0,0,1.1,262
2023,1,1,8,0,84,1.1,267
2023,1,1,9,0,223,1.2000000000000002,280
2023,1,1,10,0,268,1.2000000000000002,287
2023,1,1,11,0,335,1.2000000000000002,293
2023,1,1,12,0,425,1.1,293
2023,1,1,13,0,228,1,287
2023,1,1,14,0,250,0.8,284
2023,1,1,15,0,76,0.8,280
2023,1,1,16,0,20,0.9,270
2023,1,1,17,0,0,1,264
2023,1,1,18,0,0,1.1,261
2023,1,1,19,0,0,1.1,263
2023,1,1,20,0,0,1,260
2023,1,1,21,0,0,1.1,261
2023,1,1,22,0,0,1.2000000000000002,262
2023,1,1,23,0,0,1.2000000000000002,263
2023,1,2,0,0,0,1.1,263
2023,1,2,1,0,0,1.1,267
2023,1,2,2,0,0,1,272
2023,1,2,3,0,0,1,277
2023,1,2,4,0,0,0.9,281
2023,1,2,5,0,0,0.9,284
2023,1,2,6,0,0,0.9,284
2023,1,2,7,0,0,0.9,284
2023,1,2,8,0,40,0.8,279
2023,1,2,9,0,165,0.7000000000000001,270
2023,1,2,10,0,115,0.6000000000000001,263
2023,1,2,11,0,188,0.5,268
2023,1,2,12,0,342,0.5,268
2023,1,2,13,0,34,0.5,271
2023,1,2,14,0,25,0.5,270
2023,1,2,15,0,141,0.5,267
2023,1,2,16,0,20,0.6000000000000001,268
2023,1,2,17,0,0,0.7000000000000001,272
2023,1,2,18,0,0,0.8,278
2023,1,2,19,0,0,0.9,282
2023,1,2,20,0,0,0.9,285
2023,1,2,21,0,0,1,288
2023,1,2,22,0,0,1.1,295
2023,1,2,23,0,0,1.1,302
2023,1,3,0,0,0,1.1,305
2023,1,3,1,0,0,1.1,308
2023,1,3,2,0,0,1,311
2023,1,3,3,0,0,0.8,307
2023,1,3,4,0,0,0.5,311
2023,1,3,5,0,0,0.30000000000000004,3
2023,1,3,6,0,0,0.30000000000000004,154
2023,1,3,7,0,0,0.6000000000000001,184
2023,1,3,8,0,16,0.7000000000000001,179
2023,1,3,9,0,9,0.8,169
2023,1,3,10,0,25,0.8,162
2023,1,3,11,0,12,0.7000000000000001,137
2023,1,3,12,0,21,0.7000000000000001,118
2023,1,3,13,0,16,0.7000000000000001,109
2023,1,3,14,0,5,0.7000000000000001,113
2023,1,3,15,0,12,0.7000000000000001,101
2023,1,3,16,0,3,0.7000000000000001,90
2023,1,3,17,0,0,0.5,76
2023,1,3,18,0,0,0.4,52
2023,1,3,19,0,0,0.4,321
2023,1,3,20,0,0,0.7000000000000001,298
2023,1,3,21,0,0,0.8,291
2023,1,3,22,0,0,0.8,276
2023,1,3,23,0,0,0.7000000000000001,275
2023,1,4,0,0,0,0.5,285
2023,1,4,1,0,0,0.4,309
2023,1,4,2,0,0,0.4,337
2023,1,4,3,0,0,0.5,346
2023,1,4,4,0,0,0.7000000000000001,336
